RMSD,Area,ED,Energy,SS,ResidueLength,PairNumber,100.6079961,81.98734877,0.042989621,99.92630351
2.742,4722.92,4019.64,-1.60E+03,13,79,317,1,0,0,1
1.557,4059.12,2191.03,-1146.08,20,54,165,1,0,0,1
2.362,4773.56,2787.99,-1263.38,46,67,224,1,0,0,1
3.892,8271.27,9545.98,-2848.93,26,138,554,1,1,0,1
4.454,7102.16,14148.8,-2381.15,85,120,809,1,1,0,1
4.991,7015.24,7336.79,-1699.8,22,95,427,1,1,0,1
2.655,8620.28,24949.9,-3198.06,35,157,1519,1,1,0,1
2.811,9238.73,39245.5,-2.59E+03,15,196,1885,1,1,0,1
0,12276.4,59742,-5101,56,249,2826,1,1,0,1
4.322,14165.5,140950,-1.41E+03,82,315,5844,1,1,0,1
0,7069.95,15336.6,-3000.09,81,133,847,1,1,0,1
4.524,10768.8,28521,-3732.37,61,214,1469,1,1,0,1
0,10255.7,66668,-6050,97,207,3048,1,1,0,1
0,6411.13,9698,-2686,59,104,652,1,1,0,1
4.339,8766.37,11524.1,-3270.78,44,156,654,1,1,0,1
3.217,9764.47,51960.7,-2.51E+03,16,188,2599,1,1,0,1
2.504,15208.6,90305.4,-2.28E+03,53,223,2059,1,1,0,1
0,6628.08,6490.83,-1923.04,23,100,485,1,0,0,1
0,7836.78,5545,-2661,41,126,371,1,0,0,1
0,10787.8,103850,-4705,85,237,4804,1,1,0,1
0,7347.39,13978,-3121,24,126,765,1,1,0,1
3.222,15563.6,110121,-6.38E+03,38,322,4619,1,1,0,1
2.034,5091.81,4269.08,-1.52E+03,10,79,317,1,0,0,1
2.963,3840,1433.37,-606.618,32,40,100,1,0,0,1
3.682,15435,144972,-5803.6,170,308,6057,1,1,0,1
1.633,13353.1,40216.5,-1.76E+03,43,234,1581,1,1,0,1
0,18609.3,300553,-12391,73,464,10829,1,1,0,1
2.885,12024.8,115245,-2.02E+03,47,235,4905,1,1,0,1
0,23099.1,280276,-13215,264,465,8741,1,1,0,1
2.136,8334.2,9499.81,-2868.48,97,130,490,1,1,0,1
3.869,11983.7,46065.4,-5543.47,49,273,2061,1,1,0,1
3.513,18072.9,161030,-8.83E+03,91,388,6290,1,1,0,1
0,13071.6,151812,-6450,66,284,6506,1,1,0,1
3.342,19248.1,162489,-1.06E+04,88,388,6290,1,1,0,1
0,19217.4,205811,-10695,61,390,6741,1,1,0,1
1.917,9714.1,33873.2,-2.73E+03,56,234,1581,1,1,0,1
4.117,4911.72,2837.21,-1207.83,47,67,224,1,0,0,1
3.221,12894.8,60525,-4.78E+03,25,247,2754,1,1,0,1
2.59,10721.5,38062.2,-4162.48,129,205,1751,1,1,0,1
3.62,10991.8,86042.1,-2.96E+03,18,220,3450,1,1,0,1
