"Actual","Predicted"
2.923,2.37876778388297
1.21,2.70115248644449
4.918,2.56673615412947
4.392,2.29537423357394
2.381,2.19422234251507
1.521,2.37971910629189
2.23,2.30250421268803
1.693,2.36599794066179
2.34,2.59996542715712
0,2.0453129005862
0,2.33177086908628
4.472,2.71467626213408
4.575,2.21994012271457
4.918,2.65258613918407
0,-4.18428564647005
2.324,2.7201185697883
1.97,2.14760612994129
3.047,1.36205571406467
2.016,2.41170370702306
0,2.65122849542783
2.73,2.85165707783133
3.48,2.29701919798586
1.364,1.80275734655672
0,1.89019716355298
1.032,2.12440200010243
2.849,2.0720520114327
0,2.22170794018788
3.11,2.31397933255621
4.663,1.98457242563015
4.292,2.6549695468058
1.542,2.33023801424829
3.153,1.9704225293282
2.26,2.37334180341869
0,2.488310657558
1.917,1.96560916043123
4.476,1.97990983282696
0.958,2.45277934515334
0,-0.26927593279973
3.407,2.91946993892943
1.442,2.33013474537236
2.773,2.36946100617873
0,2.24161280789278
0,2.29972907164207
3.694,2.5431513159879
1.703,2.2929703727386
0,2.76879787932316
4.182,2.48991738329906
0,2.29517654694959
3.348,2.39032756674217
2.454,2.28720744422272
1.182,2.3612339162581
3.776,2.38953695928515
3.98,2.74451959495454
3.764,2.46723737293897
0,2.0939653884279
4.11,2.51591321209631
2.811,2.55770798768921
0,2.50923848288582
0,1.96758014382718
3.556,2.79292668610977
4.974,2.11855127287058
2.183,2.50223993250464
3.613,2.61042530496306
0,1.93423232950417
2.194,1.22367522346835
4.858,2.57286559232974
2.425,2.50157205094072
2.001,2.16924642337616
4.852,2.27558586268711
4.861,1.88519443850472
3.595,2.61749906296299
0,2.24947692090134
3.712,2.44882764706923
0,1.17088892391931
2.19,2.75039926536661
3.658,2.10046894784036
3.542,2.73327767224097
4.738,2.14044130343919
4.279,2.13908698357861
2.54,2.41568654421198
1.195,2.37747245229675
4.599,2.49390372784026
4.629,2.08887135561142
0,2.64835484951763
3.33,2.17635207031296
3.083,1.91511791417068
4.816,2.7027760857309
0,2.17907550812865
3.165,2.47427460078043
3.41,2.54455364842656
2.905,2.30830985166457
3.432,2.47325705240703
3.838,2.99447057308942
3.081,3.03529255528699
0,2.33480141130198
4.035,2.63747188053654
0,2.57740604297962
2.284,2.83900153607672
0,2.54373461799216
3.447,2.62421020801341
2.974,2.69212658901117
4.564,2.45253569570607
2.631,2.02753345860995
3.649,2.49437169313288
0,1.56762967331869
4.718,2.44403233468526
2.946,2.48518574058082
3.341,2.94736153030678
3.32,2.17001549555962
3.039,2.66602623816791
2.034,2.74608884589159
2.199,2.55059444135762
1.366,2.11144779061245
3.677,2.63782216170537
4.402,2.48840880577754
2.525,2.43433880619463
1.736,2.10089608528656
3.809,2.50082879862575
1.205,2.31525899868634
4.779,2.35207622270022
1.584,2.42612908336891
2.755,2.44550755702343
0,2.4125997773763
2.921,2.56086206784735
3.836,2.51747591999194
3.449,2.41070828903113
3.322,2.21381187971357
4.245,2.5132558565094
3.833,2.47126323900923
0,1.62226909080815
0,3.4760756411255
0,2.51041647232219
2.399,2.58015431864268
4.051,2.36308018092049
0,2.36025220422945
4.897,1.84494543742235
3.574,2.47790411302012
1.292,2.15949864095947
0,2.87462175638805
1.416,2.09470634871055
2.84,2.39175326222525
3.786,2.43981839291911
2.377,2.18919818392706
1.652,2.38989934967665
4.543,2.46433720121589
4.501,2.37988937509581
0,1.96995856807743
4.044,2.50286036834925
3.708,2.56327121211237
3.165,2.15112760524917
0,1.78310171511313
2.54,2.69976387526063
3.207,2.43991902576774
1.044,2.21838944090714
3.571,2.70138753807751
3.23,2.58454960652975
1.861,2.43988495131427
0,1.79689972842684
2.459,2.51549713767068
2.115,2.27473520164474
3.843,2.53516227978346
0,2.62938316218642
1.53,2.40013692051505
2.817,2.54253416848027
0,2.03873898143755
0,2.49402220393759
0,2.52517041420489
0,2.56733982094883
2.501,2.67787025146637
3.918,2.73248592827352
1.515,2.30996749791265
3.875,2.34859877750031
0,2.4835047955535
2.03,2.36696423941092
1.863,1.13189168368004
4.197,2.31403205917738
2.477,2.39344670401564
4.232,2.54737020363947
2.835,2.16667937449537
3.611,2.13193592012041
4.703,2.5990952161471
4.833,2.11285287443766
1.505,2.72455746443929
4.782,2.51444488228193
2.423,2.39408696252704
0,1.67511031050768
4.328,2.60304859771239
2.423,2.58675403808095
0,2.43684596965786
3.212,2.29713962236158
4.823,2.66853834056619
2.489,2.71608275360475
4.716,2.34040658354408
3.325,2.27058871765726
4.887,2.24261105475315
0,2.50024142549373
2.967,2.24611597898811
2.456,2.51517350160375
3.676,2.76321113772278
2.693,2.63779311486658
1.814,2.69930019753744
0,1.06717507396095
1.239,2.09265857967758
3.536,1.61441129824394
3.828,1.68244394642122
3.385,2.45162439077412
0,2.46063713032001
4.417,2.48050442842819
2.782,2.62740260492214
4.255,2.33983664372871
0,2.66020023986121
1.551,2.79240252269269
3.856,2.38073645171223
3.548,2.63750773454174
0.808,2.09292083847341
1.92,2.08711925571011
3.031,2.12487987902003
2.012,2.48503955777161
3.826,2.57326715019926
0,2.39798642567254
0,2.5708447199265
0,2.3227399328546
4.978,2.52823874535508
3.666,2.64106557303583
3.815,2.70373222515357
3.431,2.4968023737936
3.722,2.80440722013915
2.943,2.56808323772688
2.283,2.45684311458827
4.637,2.54434563753537
4.58,2.53057124659105
2.923,2.39029777351257
3.67,2.74083953064539
3.094,2.78899053071879
1.945,2.49784533415547
4.194,2.49785881840265
0,2.30062204320436
0,1.9210188682753
4.533,1.95467130409574
3.014,2.25369863879055
0,1.60467147662612
4.905,2.33064865648046
4.313,2.06139114955184
4.717,2.69381855712939
0,2.64278145969817
4.872,2.68423949402737
0,0.653771300900217
2.696,2.57867416495813
3.126,2.644015304411
0,2.36708446241508
4.003,2.59189884422156
1.102,2.3838417538167
0,2.31057888018508
2.452,2.25036282736041
4.25,2.18324722157874
0,2.43052721251919
2.08,2.63705372277016
2.418,2.42002162363414
0,2.44238485080203
0,2.61568235365976
3.914,2.210747004468
0,2.67542019634155
0,2.04296036666957
3.334,2.55700709469099
4.76,2.0639448966252
1.595,2.3510201280288
3.634,2.90587783217083
3.175,2.40669549233748
3.739,2.45707779996669
2.522,2.06641835792837
1.06,2.27857031060128
0,2.66661326167102
3.194,2.04540344677903
2.546,2.589854366639
1.555,2.36562204620267
3.061,2.23581168901305
0,2.31328339470044
0,2.28277499257192
1.618,2.54923556874425
3.878,2.65059437300809
0,1.51536369743744
4.132,2.59322409144133
3.063,2.53942346612874
4.97,2.1149117951899
4.626,2.5674221316664
3.601,2.53359625861876
1.574,2.37645058346273
3.318,2.31767353822894
0,2.28731001910071
2.621,2.20010929420024
0,2.80720943041003
0,2.54222578487199
3.375,2.13219834707351
2.187,1.98471620828487
0,2.35059204670685
0,2.16568723922594
4.544,2.48674737759555
3.025,2.32283272569386
2.285,2.39910224636642
3.748,2.58940720371393
3.384,2.28023937091976
4.672,2.40812559787459
0,2.48152233518127
3.9,2.63411328599361
3.745,2.52883824838093
0,2.48123379069076
3.647,2.38793181217513
4.396,2.68051293630011
1.321,2.01225403427216
3.253,2.3429112258427
0,1.87611688366772
3.651,2.49924646397235
3.681,2.64450173953273
0,2.51882780252541
2.971,2.43243530895048
4.195,2.51282434887204
4.059,2.53881857571784
3.06,2.38781952369154
4.836,2.60837128894909
0,1.7785448034497
0,1.93681851223803
2.246,2.37034380125047
4.757,2.45429168163483
0,2.65963457218433
0,2.40944185033541
1.997,2.40337043827608
0,1.65790537918283
0,0.294781284203139
1.808,2.35206914106768
1.172,2.16130538097044
4.87,2.51007926939488
4.607,2.63746046684881
